"CODE","cz"
"NAME","Čeština"
"AVO_DESC","Přizpůsobte si svá vozidla (podporuje Cities Skylines 1.21.1-f9)."
"TRN_CHOICE","Nastavit jazyk"
"TRN_TOOLTIP","Vyberte jazyk, který se má použít pro tento mod. Bude vyžadovat
restartování hry. (výchozí: Použít jazyk hry)"
"TRN_SYS","Použijte jazyk hry"
"KEY_KEY","Klávesová zkratka ve hře"
"KEY_KEY_TT","Definujte klávesovou zkratku pro uživatelské rozhraní AVO."
"KEY_PRS","Stiskněte libovolnou klávesu"
"AVO_OPT_GEN","Obecné nastavení"
"AVO_OPT_GEN_ASAVE","Povolit automatické ukládání konfiguračních dat vozidla"
"AVO_OPT_GEN_ASAVE_TT","Pokud je povoleno, všechny změny na vozidlech se okamžitě uloží
jakmile je zadávání dat do pole dokončeno. (výchozí: povoleno)"
"AVO_OPT_GEN_DEBUG","Povolit protokolování zpráv ladění"
"AVO_OPT_GEN_DEBUG_TT","Pokud je povoleno, budou protokolovány zprávy o ladění modu. (výchozí: povoleno)"
"AVO_OPT_GEN_GUI","Skryjte tlačítko panelu nástrojů ve hře"
"AVO_OPT_GEN_GUI_TT","Skryjte tlačítko uživatelského rozhraní na hlavním panelu nástrojů. Uživatelské rozhraní AVO může být
lze kdykoli přistupovat pomocí klávesové zkratky. (výchozí: zakázáno – zobrazit tlačítko uživatelského rozhraní)"
"AVO_OPT_GEN_SERVICE","Povolit upozornění na nedostupné služby při načítání mapy"
"AVO_OPT_GEN_SERVICE_TT","Při spuštění hry a městských služeb se zobrazí varování
nemají přidělena žádná vozidla. (výchozí: povoleno)"
"AVO_OPT_BAL","Hra a vyváženost"
"AVO_OPT_BAL_UNITS","Zobrazit rychlost v mílích za hodinu (mph) místo kilometrů za hodinu (km/h)"
"AVO_OPT_BAL_UNITS_TT","Změní zobrazení jednotky rychlosti z mph na km/h.
(výchozí: vypnuto – použít km/h)"
"AVO_OPT_BAL_EXT","Povolí různé hodnoty pro vozidla bez nákladu a bez cestujících"
"AVO_OPT_BAL_EXT_TT","Umožňuje změny u požární ochrany (účinnost hašení a kapacita),
u policejních vozidel (kapacita řešení kriminality) a u údržbových
vozidel (údržba a čerpací výkon). (výchozí: vypnuto)

Může narušit vyvážení hry. Hodnoty nejsou dokumentovány."
"AVO_OPT_COMP","Kompatibilita"
"AVO_OPT_COMP_MODS","Zobrazit upozornění na kompatibilitu modů"
"AVO_OPT_COMP_MODS_TT","Pokud je zapnuto, nastavení, která lze měnit v Improved Public Transport (BloodyPenguin)
a Transport Lines Manager (Klyte), budou zobrazena červenou varovnou barvou. Hodnoty
upravujte pouze v těchto modech. Pokud je vypnuto, zvýraznění se nezobrazí. (výchozí: zapnuto)"
"AVO_OPT_COMP_VCX","Vehicle/Asset Color Expander: má přednost před barvením vozidel AVO"
"AVO_OPT_COMP_VCX_TT","Trvalé nastavení, pokud je aktivní Vehicle Color Expander (Klyte).
Správa barev je řízena Vehicle Color Expander. Hodnoty se
nastavují ve Vehicle/Asset Color Expander. (výchozí: trvale zapnuto)"
"AVO_OPT_COMP_NBT","No Big Trucks: klasifikovat vozidla obecného průmyslu jako velká vozidla"
"AVO_OPT_COMP_NBT_TT","Pokud je zapnuto, doručovací vozy lze označit jako velká vozidla.
Odesílání bude blokováno modem No Big Trucks (MacSergey).
(výchozí: zapnuto)"
"AVO_OPT_COMP_TRL","Reference kompatibility přívěsů vozidel byly naposledy aktualizovány:"
"AVO_OPT_COMP_TRL_TT","Toto pole zobrazuje datum revize seznamu vozidel pro autobusy, 
trolejbusy a přívěsy hasičů a policie, které jsou ve skutečnosti 
průmyslové přívěsy, ale byly AVO znovu zařazeny."
"AVO_OPT_SUP","Podpora"
"AVO_OPT_SUP_WIKI","Otevřít wiki Advanced Vehicle Options"
"AVO_OPT_SUP_XMLEDIT","Hromadná aktualizace - Editor konfigurace XML"
"AVO_OPT_SUP_OPENXML","Otevřít editor konfigurace XML"
"AVO_OPT_SUP_LOG","Otevřít složku logů Cities: Skylines (output_log.txt)"
"AVO_OPT_SUP_SET","Otevřít složku s konfiguračními soubory modu"
"AVO_OPT_SUP_SET_TT","Zkontrolujte tyto soubory pro zálohu:
Nastavení modu      - AdvancedVehicleOptions_Settings.xml
Data vozidel modu  - AdvancedVehicleOptions_VehicleData.xml"
"AVO_OPT_SUP_CROWDIN","Podpora / Oprava překladů na Crowdin"
"AVO_MOD_CAPA","Kapacita: "
"AVO_MOD_BGUIDESC","Upravit různé vlastnosti vozidel"
"AVO_MOD_AV01","Vaše konfigurace byla exportována. Konfigurační soubor naleznete zde: "
"AVO_MOD_AV02","Následující služby nemusí fungovat správně, protoženení povoleno vytváření žádných vozidel:"
"AVO_MOD_VO01","Kapacita hašení požárů: "
"AVO_MOD_VO02","Kapacita kriminality: "
"AVO_MOD_VO03","Rychlost čerpání: "
"AVO_MOD_VO04","Dojezdová vzdálenost: "
"AVO_MOD_VO05","Rychlost rybolovu: "
"AVO_MOD_VO06","Nespecifikovaná kapacita: "
"AVO_MOD_VO07","Nespecifikovaná kapacita: "
"AVO_MOD_VO08","Kapacita nákladu: "
"AVO_MOD_VO09","Kapacita pošty: "
"AVO_MOD_VO10","Kapacita údržby: "
"AVO_MOD_VO11","Kapacita pacientů: "
"AVO_MOD_VO12","Kapacita těl: "
"AVO_MOD_VO13","Míra kapacity kriminality: "
"AVO_MOD_VO14","Míra hašení požárů: "
"AVO_MOD_VO15","Míra efektivity: "
"AVO_MOD_CAT00","Všechna vozidla"
"AVO_MOD_CAT01","Občané - auta"
"AVO_MOD_CAT02","Občané – kolo"
"AVO_MOD_CAT03","Průmysl – lesnictví"
"AVO_MOD_CAT04","Průmysl - farmaření"
"AVO_MOD_CAT05","Průmysl - ruda"
"AVO_MOD_CAT06","Průmysl - ropa"
"AVO_MOD_CAT07","Průmysl – rybolov"
"AVO_MOD_CAT08","Průmysl - Dodání"
"AVO_MOD_CAT09","Průmysl - Továrny"
"AVO_MOD_CAT10","Policie"
"AVO_MOD_CAT11","Vězení"
"AVO_MOD_CAT12","Požární bezpečnost"
"AVO_MOD_CAT13","Krizový štáb"
"AVO_MOD_CAT14","Zdravotní péče"
"AVO_MOD_CAT15","Péče o smrt"
"AVO_MOD_CAT16","Odpadky"
"AVO_MOD_CAT17","Přenos odpadu"
"AVO_MOD_CAT18","Údržba"
"AVO_MOD_CAT19","Poštovní Úřad"
"AVO_MOD_CAT20","Bankovní služba"
"AVO_MOD_CAT21","Autobus"
"AVO_MOD_CAT22","Meziměstský autobus"
"AVO_MOD_CAT23","Trolejbus"
"AVO_MOD_CAT24","Taxík"
"AVO_MOD_CAT25","Metro"
"AVO_MOD_CAT26","Tramvaj"
"AVO_MOD_CAT27","Jednokolejka"
"AVO_MOD_CAT28","Lanovka"
"AVO_MOD_CAT29","Vlak - Nákladní"
"AVO_MOD_CAT30","Vlak - cestující"
"AVO_MOD_CAT31","Lodě - Náklad"
"AVO_MOD_CAT32","Loď - výlet"
"AVO_MOD_CAT33","Loď – trajektová loď"
"AVO_MOD_CAT34","Loď – trajektová doprava"
"AVO_MOD_CAT35","Letadlo - Náklad"
"AVO_MOD_CAT36","Letadlo - cestující"
"AVO_MOD_CAT37","Vrtulníky - Náklad"
"AVO_MOD_CAT38","Vrtulníky - cestující"
"AVO_MOD_CAT39","Vzducholoď"
"AVO_MOD_CAT40","Místní letecký provoz"
"AVO_MOD_CAT41","Turismus + prohlídky"
"AVO_MOD_CAT42","Závodní auta a průvody"
"AVO_MOD_CAT43","Závodní kola"
"AVO_MOD_CAT44","Startovací místo"
"AVO_MOD_CAT45","Přirozený"
"AVO_MOD_MP45","Zadejte název typu vozidla"
"AVO_MOD_MP46","Akce pro konfiguraci vozidla:"
"AVO_MOD_MP47","Importovat"
"AVO_MOD_MP48","Načíst existující konfiguraci vozidla"
"AVO_MOD_MP49","Exportovat"
"AVO_MOD_MP50","Uložit aktuální konfiguraci vozidla"
"AVO_MOD_MP51","Resetovat vše"
"AVO_MOD_MP52","Obnovit úplnou konfiguraci"
"AVO_MOD_MP53","Data vozidel -
automatické ukládání aktivní"
"AVO_MOD_MP54","Automatické ukládání konfigurace vozidel je zapnuto. Všechny
změny se okamžitě uloží do externího konfiguračního souboru."
"AVO_MOD_MP55","Klikněte sem pro procházení existujících vozidel tohoto typu.
Podržte klávesu Shift pro přiblížení přímo na vozidlo."
"AVO_MOD_MP56","Klikněte sem pro odstranění vybraného vozidla."
"AVO_MOD_MP57","Potvrdit obnovení konfigurace"
"AVO_MOD_MP58","Upravená nastavení pro všechna vozidla budou obnovena. Pokračovat v obnovení konfigurace?"
"AVO_MOD_MP59","Veškerá konfigurace vozidel a vlastní nastavení byla obnovena na výchozí hodnoty hry."
"AVO_MOD_MP60","Hledat :"
"AVO_MOD_MP61","Kategorie :"
"AVO_MOD_MP62","Vyberte kategorii vozidel k zobrazení – tip: pro 
rychlejší přepínání kategorií použijte kolečko myši."
"AVO_MOD_OP01","km/h"
"AVO_MOD_OP02","mph"
"AVO_MOD_OP03"," Upozornění: Vylepšená veřejná doprava je aktivní a může toto nastavení přepsat.
KONTEXTOVÁ ŽÁDOST ""."""
"AVO_MOD_OP04"," Upozornění: Transport Lines Manager je aktivní a může toto nastavení přepsat."
"AVO_MOD_OP05","Akce pro: "
"AVO_MOD_OP06","Maximální rychlost: "
"AVO_MOD_OP07","Změňte maximální rychlost vozidla. Upozornění: vozidla
nepřekročí rychlostní limity sítě, kterou používají."
"AVO_MOD_OP08","Zrychlení/brzdění/zatáčení: "
"AVO_MOD_OP09","Změňte faktor zrychlení vozidla.
Určuje, jak rychle vozidlo zrychluje."
"AVO_MOD_OP10","Změňte faktor brzdění vozidla.
Určuje, jak rychle vozidlo brzdí."
"AVO_MOD_OP11","Změňte faktor zatáčení vozidla.
Určuje, jak dobře vozidlo projíždí zatáčky."
"AVO_MOD_OP12","Pružiny/tlumiče"
"AVO_MOD_OP13","Změňte faktor pružin vozidla.
Určuje, jak moc se pohybuje odpružení."
"AVO_MOD_OP14","Změňte faktor tlumení vozidla.
Určuje, jak rychle se odpružení vrací do výchozího stavu."
"AVO_MOD_OP15","Násobitel náklonu/kývání: "
"AVO_MOD_OP16","Změňte násobitel náklonu vozidla.
Určuje, jak moc se vozidlo při zatáčení naklání do stran."
"AVO_MOD_OP17","Změňte násobitel kývání vozidla.
Určuje, jak moc se vozidlo při brzdění nebo zrychlování naklání dopředu/dozadu."
"AVO_MOD_OP18","Povolit barevné varianty:"
"AVO_MOD_OP19","Povolí barevné varianty vozidla.
Náhodně se vybere barva ze čtyř následujících barev."
"AVO_MOD_OP20","Barvy jsou spravovány Vehicle/Asset Color Expander"
"AVO_MOD_OP21","Povolit tomuto vozidlu spawn"
"AVO_MOD_OP22","Ujistěte se, že máte alespoň jedno vozidlo
povolené k vytvoření v této kategorii."
"AVO_MOD_OP23","Nahradit poslední vůz lokomotivou"
"AVO_MOD_OP24","Nastavte, aby poslední vůz tohoto vlaku byl lokomotiva."
"AVO_MOD_OP25","Označit jako velké vozidlo"
"AVO_MOD_OP26","Zabránit vozidlům s přívěsem doručovat do malých budov.
Tato funkce je řízena modem No Big Trucks."
"AVO_MOD_OP27","Změnit kapacitu vozidla."
"AVO_MOD_OP28","Speciální kapacity: "
"AVO_MOD_OP29","Změňte speciální parametry vozidla."
"AVO_MOD_OP30","Pokud nevíte, co tato hodnota znamená:
Nedotýkejte se jí! Klikněte pro uživatelskou příručku: Speciální kapacita."
"AVO_MOD_OP31","Spravovat vznik v přehledu dopravních linek"
"AVO_MOD_OP32","Otevřete přehled dopravních linek
a spravujte vznik vozidel."
"AVO_MOD_OP33","Klikněte pro uživatelskou příručku: Řízení vytváření vozidel"
"AVO_MOD_OP34","Vznik přívěsů je řízen hlavním vozidlem. Nastavení musí 
být provedeno v panelu přehledu dopravních linek."
"AVO_MOD_OP35","Výchozí hodnoty"
"AVO_MOD_OP36","Obnovit všechny hodnoty na výchozí"
"AVO_MOD_OP37","Globální akce pro: "
"AVO_MOD_OP38","Odstranit jízdu"
"AVO_MOD_OP39","Odebere všechna jedoucí vozidla daného typu.
Podržením klávesy SHIFT odeberete všechny typy."
"AVO_MOD_OP40","Odstranit zamknuté"
"AVO_MOD_OP41","Odebere všechna zaparkovaná vozidla daného typu.
Podržením klávesy SHIFT odeberete všechny typy."
"AVO_MOD_OP42"," nemusí fungovat správně, protože není povoleno vytváření žádných vozidel."
"AVO_MOD_OP43","Velikost stání: "
"AVO_MOD_OP44","Malé"
"AVO_MOD_OP45","Střední"
"AVO_MOD_OP46","Velké"
"AVO_MOD_OP47","Náklad"
"AVO_MOD_OP48","Synchronizovat motor s přívěsem"
"AVO_MOD_OP49","Pokud je povoleno"," the engine properties are synchronize to all trailers."
"AVO_MOD_OP50","Výběr určuje velikost pozice stání."
"AVO_MOD_OP51","Klikněte pro uživatelskou příručku: Budovy městských služeb vytvářejí pouze základní (vanilla) vozidla"
"AVO_MOD_WM01","Upozornění"
"AVO_OPT_SYNC","Zapamatovat nastavení synchronizace motoru/přívěsu"
"AVO_OPT_SYNC_TT","Pokud je zapnuto, nastavení synchronizace mezi motorem a přívěsem
se uloží, jinak je každá synchronizace pouze jednorázová. (výchozí: vypnuto)"
