"CODE","tr"
"NAME","Türkçe"
"AVO_DESC","Araçlarınızı özelleştirin (Cities Skylines 1.21.1-f9'yi destekler)."
"TRN_CHOICE","Dili Ayarla"
"TRN_TOOLTIP","Bu mod için kullanılacak dili seçin. Oyunun yeniden başlatılmasını gerektirir. (Varsayılan olarak oyunun dilini kullanır.)"
"TRN_SYS","Oyunun Dilini Kullan"
"KEY_KEY","Oyun içi kısayol tuşu"
"KEY_KEY_TT","AVO kullanıcı arayüzü için bir kısayol tuşu tanımlayın."
"KEY_PRS","Herhangi bir tuşa basın"
"AVO_OPT_GEN","Genel Ayarlar"
"AVO_OPT_GEN_ASAVE","Araç Yapılandırma Verileri için Otomatik Kaydetmeyi Etkinleştir"
"AVO_OPT_GEN_ASAVE_TT","Etkinleştirilirse, herhangi bir alana veri girişi tamamlandıktan sonra araçlardaki tüm değişiklikler hemen kaydedilir. (varsayılan ayar: etkin)"
"AVO_OPT_GEN_DEBUG","Hata ayıklama mesajlarını günlüğe kaydetmeyi etkinleştir"
"AVO_OPT_GEN_DEBUG_TT","Etkinleştirilirse, mod hata ayıklama mesajları günlüğe kaydedilir. (varsayılan ayar: etkin)"
"AVO_OPT_GEN_GUI","Oyun içi araç çubuğu butonunu gizle"
"AVO_OPT_GEN_GUI_TT","Kullanıcı arayüzü düğmesini ana araç çubuğundan gizleyin. AVO kullanıcı arayüzü, kısayol tuşu ile her zaman erişilebilir. (varsayılan ayar: devre dışı - kullanıcı arayüzü düğmesini göster)"
"AVO_OPT_GEN_SERVICE","Haritayı yüklerken kullanılabilir hizmet olmadığında uyarıyı etkinleştir"
"AVO_OPT_GEN_SERVICE_TT","Oyun başlatıldığında ve şehir servislerine atanmış herhangi bir araç olmadığında bir uyarı gösterir. (varsayılan ayar: etkin)"
"AVO_OPT_BAL","Oynanış ve Dengeleme"
"AVO_OPT_BAL_UNITS","Saat Başına Kilometre (km/s) yerine Saat Başına Mil (mph) olarak göster"
"AVO_OPT_BAL_UNITS_TT","Hız birimini mph'den km/s olarak değiştirir. (varsayılan ayar: devre dışı - km/s kullan)"
"AVO_OPT_BAL_EXT","Kargo dışı ve yolcu dışı araçlar için çeşitli değerleri etkinleştirin"
"AVO_OPT_BAL_EXT_TT","Yangın Güvenliği için Yangın Söndürme Oranı ve Kapasitesi'nin, Polis Araçları için Suç Oranı Kapasitesi'nin, Bakım Araçları için Bakım ve Pompalama Oranı'nın değiştirilmesine izin verir. (varsayılan ayar: devre dışı)

İstenilen oyunun dengesini bozabilir. Değerler belgelenmemiştir."
"AVO_OPT_COMP","Uyumluluk"
"AVO_OPT_COMP_MODS","Eklentiler için Uyumluluk Uyarılarını Görüntüle"
"AVO_OPT_COMP_MODS_TT","Etkinleştirilirse, Improved Public Transport (BloodyPenguin tarafından) ve Transport Lines Manager'da (Klyte tarafından) değiştirilebilen ayarlar kırmızı uyarı rengiyle gösterilecektir. Değerler yalnızca bu modlarda düzenlenebilir. Devre dışı bırakılırsa renklendirme gösterilmez. (varsayılan ayar: etkin)"
"AVO_OPT_COMP_VCX","Araç/Varlık Rengi Genişletici: AVO araç rengi ayarlarına göre öncelik"
"AVO_OPT_COMP_VCX_TT","Vehicle Color Expander (Klyte tarafından) etkinse ayar kalıcıdır. Renk yönetimi, Vehicle Color Expander tarafından kontrol edilir. Değerler Vehicle/Asset Color Expander üstünden yapılandırılabilir. (varsayılan ayar: kalıcı olarak etkin)"
"AVO_OPT_COMP_NBT","Büyük Kamyon Yok: Genel Endüstri araçlarını Büyük Araç olarak sınıflandırın"
"AVO_OPT_COMP_NBT_TT","Etkinleştirilirse, teslimat kamyonları büyük araç olarak işaretlenebilir. Gönderim, 
No Big Trucks (MacSergey) tarafından engellenir. (varsayılan: etkin)"
"AVO_OPT_COMP_TRL","Araç Römorku uyumluluk referanslarının son güncellendiği zaman:"
"AVO_OPT_COMP_TRL_TT","Bu alan, Otobüs, Troleybüs, İtfaiye ve Polis römorkları için araç 
listesi revizyon tarihini gösterir. Bunlar gerçekte endüstriyel
römorklardır, ancak AVO tarafından yeniden sınıflandırılmıştır."
"AVO_OPT_SUP","Destek"
"AVO_OPT_SUP_WIKI","Advanced Vehicle Options Wiki'sini açın"
"AVO_OPT_SUP_XMLEDIT","Toplu Güncelleme - XML Yapılandırma Düzenleyicisi"
"AVO_OPT_SUP_OPENXML","Yapılandırma XML Düzenleyicisini Aç"
"AVO_OPT_SUP_LOG","Cities: Skylines günlük klasörünü aç (output_log.txt)"
"AVO_OPT_SUP_SET","Mod Yapılandırma Dosyalarının Bulunduğu Klasörü Aç"
"AVO_OPT_SUP_SET_TT","Yedek için şu dosyaları kontrol edin:
Mod Ayarları     - AdvancedVehicleOptions_Settings.xml
Mod Araç Verisi  - AdvancedVehicleOptions_VehicleData.xml"
"AVO_OPT_SUP_CROWDIN","Destek / Crowdin üzerinde çevirileri düzeltme"
"AVO_MOD_CAPA","Kapasite: "
"AVO_MOD_BGUIDESC","Çeşitli araç özelliklerini değiştirin"
"AVO_MOD_AV01","Konfigürasyonunuz dışa aktarıldı. Yapılandırma dosyası burada bulunabilir: "
"AVO_MOD_AV02","Hiçbir aracın ortaya çıkması etkinleştirilmediğinden aşağıdaki hizmetler düzgün çalışmayabilir:"
"AVO_MOD_VO01","Yangınla Mücadele Kapasitesi: "
"AVO_MOD_VO02","Suçlu Kapasitesi: "
"AVO_MOD_VO03","Pompalama Oranı: "
"AVO_MOD_VO04","Seyahat Mesafesi: "
"AVO_MOD_VO05","Balık Tutma Oranı: "
"AVO_MOD_VO06","Belirtilmemiş Kapasite: "
"AVO_MOD_VO07","Yolcu Kapasitesi: "
"AVO_MOD_VO08","Kargo Kapasitesi: "
"AVO_MOD_VO09","Posta Kapasitesi: "
"AVO_MOD_VO10","Bakım Kapasitesi: "
"AVO_MOD_VO11","Hasta Kapasitesi: "
"AVO_MOD_VO12","Cenaze Kapasitesi: "
"AVO_MOD_VO13","Suç Kapasitesi Oranı: "
"AVO_MOD_VO14","Yangınlar Mücadele Oranı: "
"AVO_MOD_VO15","Verimlilik Oranı: "
"AVO_MOD_CAT00","Tüm Araçlar"
"AVO_MOD_CAT01","Vatandaş - Arabalar"
"AVO_MOD_CAT02","Vatandaş - Bisikletler"
"AVO_MOD_CAT03","Sanayi - Orman"
"AVO_MOD_CAT04","Sanayi - Tarım"
"AVO_MOD_CAT05","Sanayi - Maden"
"AVO_MOD_CAT06","Sanayi - Petrol"
"AVO_MOD_CAT07","Sanayi - Balıkçılık"
"AVO_MOD_CAT08","Sanayi - Teslimat"
"AVO_MOD_CAT09","Sanayi - Fabrikalar"
"AVO_MOD_CAT10","Polis"
"AVO_MOD_CAT11","Hapishane"
"AVO_MOD_CAT12","Yangın Güvenliği"
"AVO_MOD_CAT13","Afet Müdahale"
"AVO_MOD_CAT14","Sağlık Hizmeti"
"AVO_MOD_CAT15","Ölü Bakımı"
"AVO_MOD_CAT16","Çöp"
"AVO_MOD_CAT17","Atık Transferi"
"AVO_MOD_CAT18","Bakım"
"AVO_MOD_CAT19","Posta Hizmeti"
"AVO_MOD_CAT20","Banka Hizmeti"
"AVO_MOD_CAT21","Otobüs"
"AVO_MOD_CAT22","Şehirler arası Otobüs"
"AVO_MOD_CAT23","Troleybüs"
"AVO_MOD_CAT24","Taksi"
"AVO_MOD_CAT25","Metro"
"AVO_MOD_CAT26","Tramvay"
"AVO_MOD_CAT27","Monoray"
"AVO_MOD_CAT28","Teleferik"
"AVO_MOD_CAT29","Tren - Kargo"
"AVO_MOD_CAT30","Tren - Yolcu"
"AVO_MOD_CAT31","Gemi - Kargo"
"AVO_MOD_CAT32","Gemi - Yolcu"
"AVO_MOD_CAT33","Gemi - Yük Feribotu"
"AVO_MOD_CAT34","Gemi - Yolcu Feribotu"
"AVO_MOD_CAT35","Uçak - Kargo"
"AVO_MOD_CAT36","Uçak - Yolcu"
"AVO_MOD_CAT37","Helikopter - Yük"
"AVO_MOD_CAT38","Helikopter - Yolcu"
"AVO_MOD_CAT39","Zeplin"
"AVO_MOD_CAT40","Yerel Hava Trafiği"
"AVO_MOD_CAT41","Turizm + Turlar"
"AVO_MOD_CAT42","Yarış arabaları ve geçit törenleri"
"AVO_MOD_CAT43","Yarış bisikletleri"
"AVO_MOD_CAT44","Fırlatma Alanı"
"AVO_MOD_CAT45","Doğal"
"AVO_MOD_MP45","Bir ara türünü adını yazın"
"AVO_MOD_MP46","Araç Konfigürasyonu için Eylemler:"
"AVO_MOD_MP47","İçeri aktar"
"AVO_MOD_MP48","Var olan bir araç konfigürasyonunu yükleyin"
"AVO_MOD_MP49","Dışa aktar"
"AVO_MOD_MP50","Mevcut araç konfigürasyonunu kaydedin"
"AVO_MOD_MP51","Hepsini Sıfırla"
"AVO_MOD_MP52","Tüm konfigürasyonu sıfırla"
"AVO_MOD_MP53","Araç Verileri -
Otomatik kaydetme etkin"
"AVO_MOD_MP54","Araç Yapılandırma Verilerinin otomatik kaydedilmesi etkinleştirildi.
Tüm değişiklikler hemen harici konfigürasyon dosyasına kaydedilecektir."
"AVO_MOD_MP55","Bu türdeki mevcut araçlar arasında geçiş yapmak için buraya tıklayın.
Doğrudan araca yakınlaştırmak için Shift tuşunu basılı tutun."
"AVO_MOD_MP56","Seçilen aracı kaldırmak için buraya tıklayın."
"AVO_MOD_MP57","Konfigürasyonu Sıfırlama İşlemini Onaylayın"
"AVO_MOD_MP58","Tüm araçlar için özelleştirilmiş ayarlar sıfırlanacaktır. Konfigürasyonu sıfırlama ile devam edilsin mi?"
"AVO_MOD_MP59","Tüm araç konfigürasyonları ve özelleştirilmiş ayarlar oyun varsayılanlarına sıfırlandı."
"AVO_MOD_MP60","Arama :"
"AVO_MOD_MP61","Kategori :"
"AVO_MOD_MP62","Görüntülemek için bir araç kategorisi seçin - İpucu: Kategoriler
arasında daha hızlı geçiş yapmak için fare tekerleğini kullanın."
"AVO_MOD_OP01","km/s"
"AVO_MOD_OP02","mph"
"AVO_MOD_OP03","Uyarı: Improved Public Transport etkin ve bu ayarı geçersiz kılabilir."
"AVO_MOD_OP04","Uyarı: Improved Public Transport etkin ve bu ayarı geçersiz kılabilir."
"AVO_MOD_OP05","Eylem için: "
"AVO_MOD_OP06","Maksimum hız: "
"AVO_MOD_OP07","Aracın maksimum hızını değiştirin. Lütfen araçların
kullandıkları ağın hız sınırlarını aşmayacağını unutmayın."
"AVO_MOD_OP08","Hızlanma/Fren/Dönüş: "
"AVO_MOD_OP09","Aracın hızlanma faktörünü değiştirin. Aracın ne kadar hızlı hızlandığını tanımlar."
"AVO_MOD_OP10","Aracın frenleme faktörünü değiştirin. Aracın ne kadar hızlı fren yapacağını tanımlar."
"AVO_MOD_OP11","Aracın dönüş faktörünü değiştirin. Aracın virajları ne kadar iyi döneceğini tanımlar."
"AVO_MOD_OP12","Yaylar/Amortisörler"
"AVO_MOD_OP13","Aracın yay faktörünü değiştirin. Süspansiyonun ne kadar hareket ettiğini tanımlar."
"AVO_MOD_OP14","Araç sönümleme katsayısını değiştirin.
Süspansiyonun varsayılan duruma ne kadar hızlı döndüğünü tanımlar."
"AVO_MOD_OP15","Eğilme/Yatma Çarpanı: "
"AVO_MOD_OP16","Araç eğilme çarpanını değiştirin.
Dönüşlerde aracın yanlara ne kadar eğileceğini tanımlar."
"AVO_MOD_OP17","Araç baş sallama çarpanını değiştirin.
Frenleme veya hızlanma sırasında aracın ileri/geri ne kadar eğileceğini tanımlar."
"AVO_MOD_OP18","Renk varyasyonlarını etkinleştir:"
"AVO_MOD_OP19","Araç renk varyasyonlarını etkinleştirin.
Aşağıdaki dört renk arasından rastgele bir renk seçilir."
"AVO_MOD_OP20","Renkler Vehicle/Asset Color Expander tarafından yönetilir"
"AVO_MOD_OP21","Bu aracın ortaya çıkmasına izin ver"
"AVO_MOD_OP22","Bu kategori için en az bir aracın ortaya çıkmasına izin verdiğinizden emin olun."
"AVO_MOD_OP23","Son vagonu lokomotifle değiştir"
"AVO_MOD_OP24","Bu trenin son vagonunu lokomotif olarak ayarlayın."
"AVO_MOD_OP25","Büyük Araç olarak işaretle"
"AVO_MOD_OP26","Römorklu araçların küçük binalara teslimat yapmasını engelleyin.
Bu özellik No Big Trucks modu tarafından kontrol edilir."
"AVO_MOD_OP27","Aracın kapasitesini değiştirin."
"AVO_MOD_OP28","Özel Kapasite: "
"AVO_MOD_OP29","Aracın özel parametrelerini değiştirin."
"AVO_MOD_OP30","Bu değerin ne olduğunu bilmiyorsanız: Dokunmayın! 
Kullanım Kılavuzu için tıklayın: Özel Kapasite."
"AVO_MOD_OP31","Taşıma Hattı Genel Bakışında Oluşumu Yönet"
"AVO_MOD_OP32","Taşıma Hattı Genel Bakışını açın
ve araçların oluşturulmasını yönetin."
"AVO_MOD_OP33","Kullanım Kılavuzu için tıklayın: Spawn Kontrolü"
"AVO_MOD_OP34","Römorkların oluşturulması ana araç tarafından
kontrol edilir. Ayarlar Taşıma Hattı Genel Bakış
panelinden yapılandırılmalıdır."
"AVO_MOD_OP35","Varsayılan Değerler"
"AVO_MOD_OP36","Tüm değerleri varsayılana döndür"
"AVO_MOD_OP37","Global Actions for: "
"AVO_MOD_OP38","Sürüşü Kaldır"
"AVO_MOD_OP39","Bu türdeki tüm sürülmekte olan araçları kaldırın. Tüm türleri kaldırmak için SHIFT tuşunu basılı tutun."
"AVO_MOD_OP40","Park Etmeyi Kaldır"
"AVO_MOD_OP41","Bu türdeki tüm park edilmiş araçları kaldırın. Tüm türleri kaldırmak için SHIFT tuşunu basılı tutun."
"AVO_MOD_OP42"," araçların oluşturulmasına izin verilmediği için düzgün çalışmayabilir."
"AVO_MOD_OP43","Stand Boyutu: "
"AVO_MOD_OP44","Küçük"
"AVO_MOD_OP45","Orta"
"AVO_MOD_OP46","Büyük"
"AVO_MOD_OP47","Kargo"
"AVO_MOD_OP48","Motoru römork ile senkronize et"
"AVO_MOD_OP49","Aktif ise"," the engine properties are synchronize to all trailers."
"AVO_MOD_OP50","Yapılan seçim, durma pozisyonundaki konumun boyutunu tanımlar."
"AVO_MOD_OP51","Kullanım Kılavuzu için tıklayın: Şehir hizmet binaları yalnızca Vanilla araçları oluşturur"
"AVO_MOD_WM01","Uyarı"
"AVO_OPT_SYNC","Motor/Römork Senkronizasyon ayarını hatırla"
"AVO_OPT_SYNC_TT","Etkinleştirilirse, Motor/Römork arasındaki senkronizasyon ayarı şu şekilde olacaktır: hatırlanacaktır fakat aksi takdirde her senkronizasyon yalnızca bir seferliktir. (varsayılan ayar: devre dışı)"
